short_name,long_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,power_shot_power,power_stamina,power_strength,mentality_vision,mentality_penalties,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,mentality_interceptions,power_jumping,overall,player_tags,"resource player"
"A. Robertson","Andrew Robertson",90,57,67,82,32,80,82,38,76,82,79,85,78,95,65,79,55,84,81,11,8,10,7,82,62,87,"#Engine, #Crosser",http://dbpedia.org/resource/Andrew_Robertson
"Bernardo Silva","Bernardo Mota Veiga de Carvalho e Silva",85,79,51,86,70,92,84,67,76,92,85,78,76,93,54,85,68,59,40,9,10,14,12,49,51,87,"#Dribbler, #Engine, #Acrobat",http://dbpedia.org/resource/Bernardo_Silva
"G. Chiellini","Giorgio Chiellini",54,33,83,65,45,59,60,31,65,61,60,70,78,54,87,50,50,90,88,3,3,2,4,88,87,87,"#Tackling, #Tactician, #Strength, #Complete Defender",http://dbpedia.org/resource/Giorgio_Chiellini
"H. Lloris","Hugo Lloris",13,10,10,50,11,10,11,10,50,34,65,62,51,41,43,30,40,10,18,89,82,68,84,27,74,87,,http://dbpedia.org/resource/Hugo_Lloris
"L. Suárez","Luis Alberto Suárez Díaz",80,92,84,83,90,84,86,82,77,84,72,68,89,78,85,84,83,45,38,27,25,31,33,41,69,87,"#Distance Shooter, #Clinical Finisher",http://dbpedia.org/resource/Luis_Suárez
"P. Aubameyang","Pierre-Emerick Aubameyang",76,91,75,77,84,80,81,76,64,82,91,94,82,80,74,77,78,29,36,6,9,15,9,48,75,87,#Speedster,http://dbpedia.org/resource/Pierre-Emerick_Aubameyang
"Sergio Busquets","Sergio Busquets Burgos",62,67,68,89,44,81,66,68,83,88,40,43,61,81,75,84,60,83,80,5,8,13,9,85,66,87,,http://dbpedia.org/resource/Sergio_Busquets
"C. Immobile","Ciro Immobile",55,93,81,80,85,83,70,51,53,84,82,85,86,78,77,71,88,33,32,6,8,15,12,40,77,87,"#Clinical Finisher",http://dbpedia.org/resource/Ciro_Immobile
"A. Griezmann","Antoine Griezmann",83,88,83,84,87,87,86,85,82,89,80,79,81,86,63,85,86,54,49,14,8,14,13,49,90,87,"#Poacher, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",http://dbpedia.org/resource/Antoine_Griezmann
"H. Son","Son Heung-min",81,86,68,83,81,88,85,70,70,87,86,90,88,87,64,83,73,34,33,11,13,13,6,39,56,87,"#Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",http://dbpedia.org/resource/Son_Heung-min
"Roberto Firmino","Roberto Firmino Barbosa de Oliveira",73,80,75,87,85,90,81,65,76,91,78,77,82,88,74,86,72,64,42,8,11,9,6,58,81,87,"#Dribbler, #Engine",http://dbpedia.org/resource/Roberto_Firmino
"R. Varane","Raphaël Varane",42,46,85,78,42,55,46,52,77,79,79,85,52,75,86,59,43,87,86,11,11,9,5,87,81,86,"#Tackling, #Tactician",http://dbpedia.org/resource/Raphaël_Varane
"P. Pogba","Paul Pogba",80,75,75,86,84,87,85,82,91,90,66,79,90,83,89,88,83,67,65,5,6,2,4,64,82,86,"#Dribbler, #Playmaker, #Strength, #Complete Midfielder",http://dbpedia.org/resource/Paul_Pogba
"M. Verratti","Marco Verratti",75,60,55,90,64,90,78,64,89,90,68,61,56,76,53,88,64,82,83,12,12,15,15,85,65,86,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder",http://dbpedia.org/resource/Marco_Verratti
"A. Gómez","Alejandro Darío Gómez",83,80,38,86,72,87,82,79,77,86,94,86,76,73,44,87,72,30,34,8,11,12,9,40,70,86,"#Speedster, #Dribbler, #Playmaker, #Acrobat, #Complete Midfielder",http://dbpedia.org/resource/Papu_Gómez
"David Silva","David Josué Jiménez Silva",84,72,53,92,82,86,82,77,84,91,68,61,72,70,46,91,75,53,29,6,15,7,6,50,64,86,"#Dribbler, #Playmaker, #Complete Midfielder",http://dbpedia.org/resource/David_Silva
"Y. Sommer","Yann Sommer",13,13,10,40,8,15,12,13,31,25,48,54,64,45,68,64,24,19,12,80,86,85,87,21,73,86,,http://dbpedia.org/resource/Yann_Sommer
"M. Hummels","Mats Hummels",65,55,87,82,60,69,66,53,86,81,46,67,71,65,86,80,68,88,86,15,6,10,5,91,68,86,"#Tackling, #Tactician, #Strength, #Complete Defender",http://dbpedia.org/resource/Mats_Hummels
"J. Henderson","Jordan Brian Henderson",82,73,65,86,71,78,80,74,87,84,66,65,77,91,78,83,64,83,77,7,13,7,9,85,78,86,#Engine,http://dbpedia.org/resource/Jordan_Henderson
"Jordi Alba","Jordi Alba Ramos",85,73,70,84,60,81,80,63,79,84,88,88,64,88,61,78,59,80,82,13,15,13,6,81,80,86,#Acrobat,http://dbpedia.org/resource/Jordi_Alba
"T. Müller","Thomas Müller",85,85,81,84,84,75,81,59,78,82,68,68,78,86,66,85,60,57,46,6,7,11,14,58,77,86,#Engine,http://dbpedia.org/resource/Thomas_Müller
Carvajal,"Daniel Carvajal Ramos",84,51,72,83,49,78,76,47,74,84,79,80,68,89,74,74,45,83,85,13,13,15,9,83,77,86,#Engine,http://dbpedia.org/resource/Dani_Carvajal
"J. Vardy","Jamie Vardy",68,92,79,69,82,77,67,57,48,81,90,87,87,79,68,73,84,50,53,15,14,7,15,49,79,86,,http://dbpedia.org/resource/Jamie_Vardy
"G. Donnarumma","Gianluigi Donnarumma",12,12,12,34,8,28,12,14,24,28,46,54,57,34,72,50,24,14,16,89,81,76,83,26,72,85,,http://dbpedia.org/resource/Gianluigi_Donnarumma
"M. de Ligt","Matthijs de Ligt",52,50,86,75,45,66,48,55,74,76,68,75,82,76,88,63,40,85,82,12,11,11,12,83,84,85,#Strength,http://dbpedia.org/resource/Matthijs_de_Ligt
"L. Sané","Leroy Sané",83,81,72,81,85,88,83,82,64,85,91,95,87,70,69,82,71,32,35,8,12,9,9,34,64,85,"#Speedster, #Dribbler",http://dbpedia.org/resource/Leroy_Sané
"F. de Jong","Frenkie de Jong",75,63,66,90,69,87,84,64,86,88,80,80,68,90,74,86,45,76,77,7,13,10,10,82,76,85,"#Dribbler, #Playmaker, #Complete Midfielder",http://dbpedia.org/resource/Frenkie_de_Jong
Marquinhos,"Marcos Aoás Corrêa",68,33,84,82,31,64,55,32,82,79,70,73,61,80,75,68,47,87,87,6,6,12,10,86,89,85,"#Tackling, #Tactician",http://dbpedia.org/resource/Marquinhos
"C. Lenglet","Clément Nicolas Laurent Lenglet",55,39,83,78,37,57,59,31,74,76,76,72,58,75,83,66,49,86,81,10,10,9,12,87,85,85,#Tactician,http://dbpedia.org/resource/Clément_Lenglet
"M. Škriniar","Milan Škriniar",40,42,82,73,40,67,34,30,69,69,70,68,50,73,84,57,56,87,83,10,13,12,8,86,78,85,#Tactician,http://dbpedia.org/resource/Milan_Škriniar
"M. Depay","Memphis Depay",83,83,65,81,74,85,85,86,74,84,85,87,87,81,81,84,73,31,20,8,14,6,12,28,76,85,"#FK Specialist",http://dbpedia.org/resource/Memphis_Depay
"T. Werner","Timo Werner",69,88,78,78,86,84,70,58,55,85,93,89,85,83,67,65,78,20,19,9,9,8,15,37,75,85,#Speedster,http://dbpedia.org/resource/Timo_Werner
Rodri,"Rodrigo Hernández Cascante",63,64,75,85,59,76,65,54,82,82,66,65,74,84,79,82,46,84,78,10,10,7,14,83,69,85,,"http://dbpedia.org/resource/Rodri_(footballer,_born_1996)"
"B. Leno","Bernd Leno",9,9,13,50,10,16,9,8,48,35,55,56,60,43,70,56,23,15,18,85,83,80,84,25,73,85,,http://dbpedia.org/resource/Bernd_Leno
"S. Gnabry","Serge Gnabry",79,85,42,79,83,87,74,62,74,83,90,76,86,78,69,83,68,44,43,14,10,10,9,38,65,85,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Serge_Gnabry
"Ricardo Pereira","Ricardo Domingos Barbosa Pereira",82,63,65,83,59,82,78,52,78,82,84,83,74,88,69,77,61,84,83,16,12,15,11,81,75,85,#Engine,"http://dbpedia.org/resource/Ricardo_Pereira_(footballer,_born_1993)"
"R. Lukaku","Romelu Lukaku Menama",73,86,85,79,77,78,78,66,71,78,77,84,87,73,95,78,78,41,30,8,15,14,7,27,71,85,"#Poacher, #Strength, #Complete Forward",http://dbpedia.org/resource/Romelu_Lukaku
"Luis Alberto","Luis Alberto Romero Alconchel",76,77,49,90,76,86,86,81,89,88,76,72,77,75,64,88,56,68,45,6,8,6,12,55,53,85,#Playmaker,"http://dbpedia.org/resource/Luis_Alberto_(footballer,_born_1992)"
"H. Ziyech","Hakim Ziyech",88,73,53,86,74,83,90,78,89,85,83,77,83,80,59,89,67,56,40,11,7,11,8,52,37,85,"#Playmaker, #Crosser, #Complete Midfielder",http://dbpedia.org/resource/Hakim_Ziyech
"Thiago Silva","Thiago Emiliano da Silva",60,40,81,80,61,67,62,61,80,79,57,61,71,71,82,70,60,86,84,9,12,5,9,88,90,85,#Tactician,http://dbpedia.org/resource/Thiago_Silva
"D. Mertens","Dries Mertens",79,84,40,82,70,88,82,79,74,89,90,82,80,70,37,83,79,40,40,7,10,8,10,36,58,85,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Dries_Mertens
"G. Wijnaldum","Georginio Wijnaldum",72,75,78,88,73,85,78,73,81,88,77,76,78,93,74,79,74,79,69,16,6,14,12,79,81,85,#Engine,http://dbpedia.org/resource/Georginio_Wijnaldum
"D. Godín","Diego Roberto Godín Leal",52,42,85,79,47,53,49,49,70,74,59,55,67,62,85,52,50,86,84,6,8,15,5,87,89,85,,http://dbpedia.org/resource/Diego_Godín
"T. Alderweireld","Toby Alderweireld",64,45,82,79,38,62,63,69,82,75,60,65,78,78,79,62,58,89,85,16,6,14,16,85,82,85,#Tackling,http://dbpedia.org/resource/Toby_Alderweireld
"L. Bonucci","Leonardo Bonucci",44,48,84,77,58,69,56,61,84,75,58,62,74,66,79,74,70,86,80,2,2,3,2,90,85,85,#Tactician,http://dbpedia.org/resource/Leonardo_Bonucci
"P. Gulácsi","Péter Gulácsi",16,10,23,35,10,19,18,11,31,25,42,44,62,35,74,42,24,16,20,84,85,82,84,23,67,85,,http://dbpedia.org/resource/Péter_Gulácsi
"M. Reus","Marco Reus",85,86,44,85,89,85,88,86,76,87,82,78,87,67,66,84,91,37,45,12,12,13,13,48,70,85,"#FK Specialist, #Clinical Finisher",http://dbpedia.org/resource/Marco_Reus
"K. Walker","Kyle Walker",81,51,74,78,57,79,76,71,76,79,90,94,86,89,79,69,63,83,82,12,6,16,15,80,83,85,"#Speedster, #Engine",http://dbpedia.org/resource/Kyle_Walker
Thiago,"Thiago Alcântara do Nascimento",78,68,54,89,84,90,85,77,89,91,74,55,75,73,59,85,75,71,68,6,11,7,9,83,75,85,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Thiago_Alcântara
Parejo,"Daniel Parejo Muñoz",86,83,61,92,72,82,88,93,90,86,52,49,81,78,70,89,88,70,69,5,9,12,14,81,49,85,"#Playmaker, #Crosser, #FK Specialist, #Complete Midfielder",http://dbpedia.org/resource/Dani_Parejo
"C. Eriksen","Christian Dannemann Eriksen",86,77,52,90,80,77,89,85,87,90,74,70,84,92,56,90,67,57,22,9,14,7,7,56,49,85,"#Playmaker, #Engine, #Crosser, #Complete Midfielder",http://dbpedia.org/resource/Christian_Eriksen
"Alex Sandro","Alex Sandro Lobo Silva",84,55,76,81,68,80,78,59,71,81,78,83,80,90,77,70,60,81,82,7,7,9,12,82,79,85,,http://dbpedia.org/resource/Alex_Sandro
Koke,"Jorge Resurrección Merodio",85,72,61,87,56,80,85,76,85,84,68,66,83,94,75,85,59,80,70,14,12,5,10,80,63,85,#Engine,"http://dbpedia.org/resource/Koke_(footballer,_born_1992)"
"L. Insigne","Lorenzo Insigne",83,75,59,83,74,90,87,77,78,93,92,84,78,70,34,85,74,24,22,8,4,14,9,26,50,85,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Lorenzo_Insigne
"R. Mahrez","Riyad Mahrez",83,79,48,80,76,90,84,78,75,91,87,79,79,76,55,84,70,31,22,15,9,13,11,39,60,85,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Riyad_Mahrez
"L. Martínez","Lautaro Javier Martínez",56,86,84,78,83,87,78,43,73,84,84,83,80,77,83,77,74,31,44,11,8,8,8,45,88,84,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Lautaro_Martínez
Oyarzabal,"Mikel Oyarzabal Ugarte",82,84,60,81,73,85,74,71,73,84,80,81,80,82,57,85,83,32,30,10,6,10,13,29,72,84,,http://dbpedia.org/resource/Mikel_Oyarzabal
"N. Süle","Niklas Süle",34,22,86,78,33,43,28,30,69,63,52,83,77,63,93,57,32,88,87,15,7,14,7,81,38,84,"#Aerial Threat, #Tackling, #Strength",http://dbpedia.org/resource/Niklas_Süle
Arthur,"Arthur Henrique Ramos de Oliveira Melo",73,70,58,88,63,87,76,60,84,89,68,65,78,76,68,86,69,79,70,6,13,13,11,77,68,84,"#Dribbler, #Playmaker, #Complete Midfielder",http://dbpedia.org/resource/Arthur_Melo
"L. Goretzka","Leon Goretzka",75,79,82,84,69,82,76,75,79,85,81,76,79,83,88,82,60,79,75,13,8,15,11,79,78,84,,http://dbpedia.org/resource/Leon_Goretzka
Grimaldo,"Alejandro Grimaldo García",84,52,66,81,61,84,85,81,79,83,86,84,79,90,63,68,54,78,79,7,13,10,7,81,64,84,,http://dbpedia.org/resource/Álex_Grimaldo
"A. Martial","Anthony Martial",72,85,71,80,75,89,84,54,63,87,88,90,83,77,76,77,81,39,36,9,8,8,15,42,70,84,#Dribbler,http://dbpedia.org/resource/Anthony_Martial
"J. Brandt","Julian Brandt",81,77,54,84,79,88,77,65,85,86,77,85,81,80,71,85,54,55,57,11,16,11,8,47,64,84,#Dribbler,http://dbpedia.org/resource/Julian_Brandt
"K. Coman","Kingsley Coman",77,76,52,78,77,88,81,70,73,87,94,93,80,66,64,79,70,27,21,5,3,5,3,23,73,84,"#Speedster, #Dribbler, #Acrobat",http://dbpedia.org/resource/Kingsley_Coman
"J. Giménez","José María Giménez de Vargas",47,37,78,70,30,50,36,44,62,60,65,69,72,64,90,27,38,87,86,9,11,7,10,85,90,84,"#Tackling, #Strength",http://dbpedia.org/resource/José_María_Giménez
"A. Onana","André Onana",15,12,20,33,13,26,30,17,32,38,64,62,65,39,78,64,27,18,14,84,80,87,82,15,80,84,,http://dbpedia.org/resource/André_Onana
"W. Ndidi","Onyinye Wilfred Ndidi",50,50,76,79,66,72,58,58,75,78,70,72,80,92,78,67,55,89,85,13,14,7,7,90,90,84,"#Tackling, #Tactician",http://dbpedia.org/resource/Wilfred_Ndidi
Saúl,"Saúl Ñíguez Esclápez",69,78,83,85,76,81,73,60,83,85,67,69,82,87,77,83,68,78,77,7,13,12,10,79,80,84,#Engine,http://dbpedia.org/resource/Saúl_Ñíguez
"R. Bürki","Roman Bürki",15,8,17,37,13,12,13,12,24,23,44,50,54,36,75,50,20,13,16,85,82,72,82,18,74,84,,http://dbpedia.org/resource/Roman_Bürki
"S. de Vrij","Stefan de Vrij",49,25,82,73,27,66,45,16,71,73,69,68,65,64,78,64,41,87,85,8,10,7,14,86,76,84,"#Tackling, #Tactician",http://dbpedia.org/resource/Stefan_de_Vrij
"L. Digne","Lucas Digne",87,60,71,81,68,78,83,83,73,83,78,78,83,85,69,74,60,83,84,6,12,9,6,82,92,84,#Crosser,http://dbpedia.org/resource/Lucas_Digne
"R. Guerreiro","Raphaël Adelino José Guerreiro",82,80,37,87,79,87,85,82,78,88,82,67,79,77,49,84,44,76,78,12,6,8,11,81,53,84,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Raphaël_Guerreiro
"T. Partey","Thomas Teye Partey",74,68,68,86,56,84,69,70,84,83,68,74,86,92,82,84,49,85,81,11,13,9,9,84,83,84,,http://dbpedia.org/resource/Thomas_Partey
"Jesús Navas","Jesús Navas González",83,66,75,81,75,84,82,46,75,83,90,84,75,81,39,80,56,78,80,10,10,15,7,83,63,84,,http://dbpedia.org/resource/Jesús_Navas
"K. Schmeichel","Kasper Schmeichel",18,12,16,44,15,12,13,15,46,40,50,58,62,34,64,59,26,14,13,82,77,83,79,20,60,84,,http://dbpedia.org/resource/Kasper_Schmeichel
"S. Sirigu","Salvatore Sirigu",13,10,11,23,12,15,11,11,28,18,50,51,57,34,66,55,19,11,13,84,80,76,84,20,68,84,,http://dbpedia.org/resource/Salvatore_Sirigu
"Lucas Leiva","Lucas Pezzini Leiva",63,62,72,82,59,77,74,47,81,79,62,58,77,80,61,81,61,84,81,10,8,8,5,87,81,84,#Tactician,http://dbpedia.org/resource/Lucas_Leiva
"A. Witsel","Axel Witsel",69,71,84,90,77,79,71,68,85,83,62,64,76,83,84,81,76,80,81,5,7,7,10,83,78,84,,http://dbpedia.org/resource/Axel_Witsel
"Rui Patrício","Rui Pedro dos Santos Patrício",12,12,11,34,16,20,10,16,32,25,53,57,58,45,77,64,32,13,11,84,80,77,82,23,79,84,,http://dbpedia.org/resource/Rui_Patrício
Azpilicueta,"César Azpilicueta Tanco",81,46,75,78,51,67,68,58,80,77,68,66,68,81,70,74,66,85,85,13,9,10,6,85,79,84,,http://dbpedia.org/resource/César_Azpilicueta
"Douglas Costa","Douglas Costa de Souza",82,64,50,83,76,92,84,78,65,91,94,93,86,68,56,80,77,38,34,13,15,9,12,48,60,84,"#Speedster, #Dribbler, #Acrobat",http://dbpedia.org/resource/Douglas_Costa
"Iago Aspas","Iago Aspas Juncal",80,89,77,79,83,87,79,80,68,86,78,86,79,69,60,79,82,21,18,12,16,9,12,39,66,84,"#Acrobat, #Clinical Finisher",http://dbpedia.org/resource/Iago_Aspas
"J. Corona","Jesús Manuel Corona Ruíz",84,69,71,79,75,89,85,67,68,86,88,81,66,89,39,78,68,77,76,11,6,10,14,78,71,84,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Jesús_Manuel_Corona
"I. Gueye","Idrissa Gana Gueye",60,53,69,81,32,76,49,61,77,79,70,69,80,91,69,68,54,90,83,8,6,8,12,89,89,84,#Tactician,http://dbpedia.org/resource/Idrissa_Gueye
"D. Alaba","David Olatukunbo Alaba",80,60,76,85,67,77,77,85,79,83,78,77,82,75,76,78,79,83,82,5,7,14,15,84,83,84,,http://dbpedia.org/resource/David_Alaba
Isco,"Francisco Román Alarcón Suárez",78,76,55,84,67,92,88,76,81,91,71,65,69,61,59,83,76,64,51,10,8,12,15,61,61,84,#Dribbler,http://dbpedia.org/resource/Isco
"W. Ben Yedder","Wissam Ben Yedder",74,88,74,82,84,87,80,76,66,87,86,82,83,68,63,80,80,33,26,6,13,9,7,44,79,84,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Wissam_Ben_Yedder
Felipe,"Felipe Augusto de Almeida Monteiro",45,39,84,73,44,57,32,30,69,63,58,66,46,76,89,50,47,86,83,9,11,14,9,87,90,84,"#Tactician, #Strength","http://dbpedia.org/resource/Felipe_(footballer,_born_1989)"
"N. Tagliafico","Nicolás Alejandro Tagliafico",82,57,84,78,44,73,68,40,67,77,81,82,66,85,73,69,46,80,81,13,9,10,15,82,90,84,,http://dbpedia.org/resource/Nicolás_Tagliafico
"F. Valverde","Federico Santiago Valverde Dipetta",66,70,59,85,70,79,70,66,84,82,82,89,80,86,79,80,59,80,76,6,10,6,15,81,59,83,#Engine,http://dbpedia.org/resource/Federico_Valverde
"M. Ødegaard","Martin Ødegaard",84,74,52,83,73,86,81,83,81,85,80,77,76,80,55,87,63,49,51,14,15,15,8,65,46,83,#Dribbler,http://dbpedia.org/resource/Martin_Ødegaard
